Mod:Item:MetaData, Localized Name
silentgems:gembrickspeckledlight:8, Fluorite-Speckled Bricks
silentgems:gembrickspeckledlight:9, Kyanite-Speckled Bricks
silentgems:gembrickspeckledlight:10, Sodalite-Speckled Bricks
silentgems:gembrickspeckledlight:11, Ammolite-Speckled Bricks
silentgems:gembrickspeckledlight:12, Kunzite-Speckled Bricks
silentgems:gembrickspeckledlight:13, Rose Quartz-Speckled Bricks
silentgems:gembrickspeckledlight:14, Tektite-Speckled Bricks
silentgems:gembrickspeckledlight:15, Pearl-Speckled Bricks
silentgems:gemlamp:0, Ruby Lamp
silentgems:gemlamp:1, Garnet Lamp
silentgems:gemlamp:2, Topaz Lamp
silentgems:gemlamp:3, Amber Lamp
silentgems:gemlamp:4, Heliodor Lamp
silentgems:gemlamp:5, Peridot Lamp
silentgems:gemlamp:6, Beryl Lamp
silentgems:gemlamp:7, Indicolite Lamp
silentgems:gemlamp:8, Aquamarine Lamp
silentgems:gemlamp:9, Sapphire Lamp
silentgems:gemlamp:10, Iolite Lamp
silentgems:gemlamp:11, Amethyst Lamp
silentgems:gemlamp:12, Agate Lamp
silentgems:gemlamp:13, Morganite Lamp
silentgems:gemlamp:14, Onyx Lamp
silentgems:gemlamp:15, Opal Lamp
silentgems:gemlamplit:0, Ruby Lamp
silentgems:gemlamplit:1, Garnet Lamp
silentgems:gemlamplit:2, Topaz Lamp
silentgems:gemlamplit:3, Amber Lamp
silentgems:gemlamplit:4, Heliodor Lamp
silentgems:gemlamplit:5, Peridot Lamp
silentgems:gemlamplit:6, Beryl Lamp
silentgems:gemlamplit:7, Indicolite Lamp
silentgems:gemlamplit:8, Aquamarine Lamp
silentgems:gemlamplit:9, Sapphire Lamp
silentgems:gemlamplit:10, Iolite Lamp
silentgems:gemlamplit:11, Amethyst Lamp
silentgems:gemlamplit:12, Agate Lamp
silentgems:gemlamplit:13, Morganite Lamp
silentgems:gemlamplit:14, Onyx Lamp
silentgems:gemlamplit:15, Opal Lamp
silentgems:gemlamplitinverted:0, Ruby Lamp (Inverted)
silentgems:gemlamplitinverted:1, Garnet Lamp (Inverted)
silentgems:gemlamplitinverted:2, Topaz Lamp (Inverted)
silentgems:gemlamplitinverted:3, Amber Lamp (Inverted)
silentgems:gemlamplitinverted:4, Heliodor Lamp (Inverted)
silentgems:gemlamplitinverted:5, Peridot Lamp (Inverted)
silentgems:gemlamplitinverted:6, Beryl Lamp (Inverted)
silentgems:gemlamplitinverted:7, Indicolite Lamp (Inverted)
silentgems:gemlamplitinverted:8, Aquamarine Lamp (Inverted)
silentgems:gemlamplitinverted:9, Sapphire Lamp (Inverted)
silentgems:gemlamplitinverted:10, Iolite Lamp (Inverted)
silentgems:gemlamplitinverted:11, Amethyst Lamp (Inverted)
silentgems:gemlamplitinverted:12, Agate Lamp (Inverted)
silentgems:gemlamplitinverted:13, Morganite Lamp (Inverted)
silentgems:gemlamplitinverted:14, Onyx Lamp (Inverted)
silentgems:gemlamplitinverted:15, Opal Lamp (Inverted)
silentgems:gemlampinverted:0, Ruby Lamp (Inverted)
silentgems:gemlampinverted:1, Garnet Lamp (Inverted)
silentgems:gemlampinverted:2, Topaz Lamp (Inverted)
silentgems:gemlampinverted:3, Amber Lamp (Inverted)
silentgems:gemlampinverted:4, Heliodor Lamp (Inverted)
silentgems:gemlampinverted:5, Peridot Lamp (Inverted)
silentgems:gemlampinverted:6, Beryl Lamp (Inverted)
silentgems:gemlampinverted:7, Indicolite Lamp (Inverted)
silentgems:gemlampinverted:8, Aquamarine Lamp (Inverted)
silentgems:gemlampinverted:9, Sapphire Lamp (Inverted)
silentgems:gemlampinverted:10, Iolite Lamp (Inverted)
silentgems:gemlampinverted:11, Amethyst Lamp (Inverted)
silentgems:gemlampinverted:12, Agate Lamp (Inverted)
silentgems:gemlampinverted:13, Morganite Lamp (Inverted)
silentgems:gemlampinverted:14, Onyx Lamp (Inverted)
silentgems:gemlampinverted:15, Opal Lamp (Inverted)
silentgems:gemlampdark:0, Carnelian Lamp
silentgems:gemlampdark:1, Spinel Lamp
silentgems:gemlampdark:2, Citrine Lamp
silentgems:gemlampdark:3, Jasper Lamp
silentgems:gemlampdark:4, Golden Beryl Lamp
silentgems:gemlampdark:5, Moldavite Lamp
silentgems:gemlampdark:6, Malachite Lamp
silentgems:gemlampdark:7, Turquoise Lamp
silentgems:gemlampdark:8, Moonstone Lamp
silentgems:gemlampdark:9, Blue Topaz Lamp
silentgems:gemlampdark:10, Tanzanite Lamp
silentgems:gemlampdark:11, Violet Sapphire Lamp
silentgems:gemlampdark:12, Lepidolite Lamp
silentgems:gemlampdark:13, Ametrine Lamp
silentgems:gemlampdark:14, Black Diamond Lamp
silentgems:gemlampdark:15, Alexandrite Lamp
silentgems:gemlamplitdark:0, Carnelian Lamp
silentgems:gemlamplitdark:1, Spinel Lamp
silentgems:gemlamplitdark:2, Citrine Lamp
silentgems:gemlamplitdark:3, Jasper Lamp
silentgems:gemlamplitdark:4, Golden Beryl Lamp
silentgems:gemlamplitdark:5, Moldavite Lamp
silentgems:gemlamplitdark:6, Malachite Lamp
silentgems:gemlamplitdark:7, Turquoise Lamp
silentgems:gemlamplitdark:8, Moonstone Lamp
silentgems:gemlamplitdark:9, Blue Topaz Lamp
silentgems:gemlamplitdark:10, Tanzanite Lamp
silentgems:gemlamplitdark:11, Violet Sapphire Lamp
silentgems:gemlamplitdark:12, Lepidolite Lamp
silentgems:gemlamplitdark:13, Ametrine Lamp
silentgems:gemlamplitdark:14, Black Diamond Lamp
silentgems:gemlamplitdark:15, Alexandrite Lamp
silentgems:gemlamplitinverteddark:0, Carnelian Lamp (Inverted)
silentgems:gemlamplitinverteddark:1, Spinel Lamp (Inverted)
silentgems:gemlamplitinverteddark:2, Citrine Lamp (Inverted)
silentgems:gemlamplitinverteddark:3, Jasper Lamp (Inverted)
silentgems:gemlamplitinverteddark:4, Golden Beryl Lamp (Inverted)
silentgems:gemlamplitinverteddark:5, Moldavite Lamp (Inverted)
silentgems:gemlamplitinverteddark:6, Malachite Lamp (Inverted)
silentgems:gemlamplitinverteddark:7, Turquoise Lamp (Inverted)
silentgems:gemlamplitinverteddark:8, Moonstone Lamp (Inverted)
silentgems:gemlamplitinverteddark:9, Blue Topaz Lamp (Inverted)
silentgems:gemlamplitinverteddark:10, Tanzanite Lamp (Inverted)
silentgems:gemlamplitinverteddark:11, Violet Sapphire Lamp (Inverted)
silentgems:gemlamplitinverteddark:12, Lepidolite Lamp (Inverted)
silentgems:gemlamplitinverteddark:13, Ametrine Lamp (Inverted)
silentgems:gemlamplitinverteddark:14, Black Diamond Lamp (Inverted)
silentgems:gemlamplitinverteddark:15, Alexandrite Lamp (Inverted)
silentgems:gemlampinverteddark:0, Carnelian Lamp (Inverted)
silentgems:gemlampinverteddark:1, Spinel Lamp (Inverted)
silentgems:gemlampinverteddark:2, Citrine Lamp (Inverted)
silentgems:gemlampinverteddark:3, Jasper Lamp (Inverted)
silentgems:gemlampinverteddark:4, Golden Beryl Lamp (Inverted)
silentgems:gemlampinverteddark:5, Moldavite Lamp (Inverted)
silentgems:gemlampinverteddark:6, Malachite Lamp (Inverted)
silentgems:gemlampinverteddark:7, Turquoise Lamp (Inverted)
silentgems:gemlampinverteddark:8, Moonstone Lamp (Inverted)
silentgems:gemlampinverteddark:9, Blue Topaz Lamp (Inverted)
silentgems:gemlampinverteddark:10, Tanzanite Lamp (Inverted)
silentgems:gemlampinverteddark:11, Violet Sapphire Lamp (Inverted)
silentgems:gemlampinverteddark:12, Lepidolite Lamp (Inverted)
silentgems:gemlampinverteddark:13, Ametrine Lamp (Inverted)
silentgems:gemlampinverteddark:14, Black Diamond Lamp (Inverted)
silentgems:gemlampinverteddark:15, Alexandrite Lamp (Inverted)
silentgems:gemlamplight:0, Pyrope Lamp
silentgems:gemlamplight:1, Coral Lamp
silentgems:gemlamplight:2, Sunstone Lamp
silentgems:gemlamplight:3, Cat's Eye Lamp
silentgems:gemlamplight:4, Zircon Lamp
silentgems:gemlamplight:5, Jade Lamp
silentgems:gemlamplight:6, Chrysoprase Lamp
silentgems:gemlamplight:7, Apatite Lamp
silentgems:gemlamplight:8, Fluorite Lamp
silentgems:gemlamplight:9, Kyanite Lamp
silentgems:gemlamplight:10, Sodalite Lamp
silentgems:gemlamplight:11, Ammolite Lamp
silentgems:gemlamplight:12, Kunzite Lamp
silentgems:gemlamplight:13, Rose Quartz Lamp
silentgems:gemlamplight:14, Tektite Lamp
silentgems:gemlamplight:15, Pearl Lamp
silentgems:gemlamplitlight:0, Pyrope Lamp
silentgems:gemlamplitlight:1, Coral Lamp
silentgems:gemlamplitlight:2, Sunstone Lamp
silentgems:gemlamplitlight:3, Cat's Eye Lamp
silentgems:gemlamplitlight:4, Zircon Lamp
silentgems:gemlamplitlight:5, Jade Lamp
silentgems:gemlamplitlight:6, Chrysoprase Lamp
silentgems:gemlamplitlight:7, Apatite Lamp
silentgems:gemlamplitlight:8, Fluorite Lamp
silentgems:gemlamplitlight:9, Kyanite Lamp
silentgems:gemlamplitlight:10, Sodalite Lamp
silentgems:gemlamplitlight:11, Ammolite Lamp
silentgems:gemlamplitlight:12, Kunzite Lamp
silentgems:gemlamplitlight:13, Rose Quartz Lamp
silentgems:gemlamplitlight:14, Tektite Lamp
silentgems:gemlamplitlight:15, Pearl Lamp
silentgems:gemlamplitinvertedlight:0, Pyrope Lamp (Inverted)
silentgems:gemlamplitinvertedlight:1, Coral Lamp (Inverted)
silentgems:gemlamplitinvertedlight:2, Sunstone Lamp (Inverted)
silentgems:gemlamplitinvertedlight:3, Cat's Eye Lamp (Inverted)
silentgems:gemlamplitinvertedlight:4, Zircon Lamp (Inverted)
silentgems:gemlamplitinvertedlight:5, Jade Lamp (Inverted)
silentgems:gemlamplitinvertedlight:6, Chrysoprase Lamp (Inverted)
silentgems:gemlamplitinvertedlight:7, Apatite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:8, Fluorite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:9, Kyanite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:10, Sodalite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:11, Ammolite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:12, Kunzite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:13, Rose Quartz Lamp (Inverted)
silentgems:gemlamplitinvertedlight:14, Tektite Lamp (Inverted)
silentgems:gemlamplitinvertedlight:15, Pearl Lamp (Inverted)
silentgems:gemlampinvertedlight:0, Pyrope Lamp (Inverted)
silentgems:gemlampinvertedlight:1, Coral Lamp (Inverted)
silentgems:gemlampinvertedlight:2, Sunstone Lamp (Inverted)
silentgems:gemlampinvertedlight:3, Cat's Eye Lamp (Inverted)
silentgems:gemlampinvertedlight:4, Zircon Lamp (Inverted)
silentgems:gemlampinvertedlight:5, Jade Lamp (Inverted)
silentgems:gemlampinvertedlight:6, Chrysoprase Lamp (Inverted)
silentgems:gemlampinvertedlight:7, Apatite Lamp (Inverted)
silentgems:gemlampinvertedlight:8, Fluorite Lamp (Inverted)
silentgems:gemlampinvertedlight:9, Kyanite Lamp (Inverted)
silentgems:gemlampinvertedlight:10, Sodalite Lamp (Inverted)
silentgems:gemlampinvertedlight:11, Ammolite Lamp (Inverted)
silentgems:gemlampinvertedlight:12, Kunzite Lamp (Inverted)
silentgems:gemlampinvertedlight:13, Rose Quartz Lamp (Inverted)
silentgems:gemlampinvertedlight:14, Tektite Lamp (Inverted)
silentgems:gemlampinvertedlight:15, Pearl Lamp (Inverted)
silentgems:gemglass:0, Ruby Glass
silentgems:gemglass:1, Garnet Glass
silentgems:gemglass:2, Topaz Glass
silentgems:gemglass:3, Amber Glass
silentgems:gemglass:4, Heliodor Glass
silentgems:gemglass:5, Peridot Glass
silentgems:gemglass:6, Beryl Glass
silentgems:gemglass:7, Indicolite Glass
silentgems:gemglass:8, Aquamarine Glass
silentgems:gemglass:9, Sapphire Glass
silentgems:gemglass:10, Iolite Glass
silentgems:gemglass:11, Amethyst Glass
silentgems:gemglass:12, Agate Glass
silentgems:gemglass:13, Morganite Glass
silentgems:gemglass:14, Onyx Glass
silentgems:gemglass:15, Opal Glass
silentgems:gemglassdark:0, Carnelian Glass
silentgems:gemglassdark:1, Spinel Glass
silentgems:gemglassdark:2, Citrine Glass
silentgems:gemglassdark:3, Jasper Glass
silentgems:gemglassdark:4, Golden Beryl Glass
silentgems:gemglassdark:5, Moldavite Glass
silentgems:gemglassdark:6, Malachite Glass
silentgems:gemglassdark:7, Turquoise Glass
silentgems:gemglassdark:8, Moonstone Glass
silentgems:gemglassdark:9, Blue Topaz Glass
silentgems:gemglassdark:10, Tanzanite Glass
silentgems:gemglassdark:11, Violet Sapphire Glass
silentgems:gemglassdark:12, Lepidolite Glass
silentgems:gemglassdark:13, Ametrine Glass
silentgems:gemglassdark:14, Black Diamond Glass
silentgems:gemglassdark:15, Alexandrite Glass
silentgems:gemglasslight:0, Pyrope Glass
silentgems:gemglasslight:1, Coral Glass
silentgems:gemglasslight:2, Sunstone Glass
silentgems:gemglasslight:3, Cat's Eye Glass
silentgems:gemglasslight:4, Zircon Glass
silentgems:gemglasslight:5, Jade Glass
silentgems:gemglasslight:6, Chrysoprase Glass
silentgems:gemglasslight:7, Apatite Glass
silentgems:gemglasslight:8, Fluorite Glass
silentgems:gemglasslight:9, Kyanite Glass
silentgems:gemglasslight:10, Sodalite Glass
silentgems:gemglasslight:11, Ammolite Glass
silentgems:gemglasslight:12, Kunzite Glass
silentgems:gemglasslight:13, Rose Quartz Glass
silentgems:gemglasslight:14, Tektite Glass
silentgems:gemglasslight:15, Pearl Glass
silentgems:teleporteranchor, Teleporter Anchor
silentgems:teleporter:0, Ruby Teleporter
silentgems:teleporter:1, Garnet Teleporter
silentgems:teleporter:2, Topaz Teleporter
silentgems:teleporter:3, Amber Teleporter
silentgems:teleporter:4, Heliodor Teleporter
silentgems:teleporter:5, Peridot Teleporter
silentgems:teleporter:6, Beryl Teleporter
silentgems:teleporter:7, Indicolite Teleporter
silentgems:teleporter:8, Aquamarine Teleporter
silentgems:teleporter:9, Sapphire Teleporter
silentgems:teleporter:10, Iolite Teleporter
silentgems:teleporter:11, Amethyst Teleporter
silentgems:teleporter:12, Agate Teleporter
silentgems:teleporter:13, Morganite Teleporter
silentgems:teleporter:14, Onyx Teleporter
silentgems:teleporter:15, Opal Teleporter
silentgems:teleporterdark:0, Carnelian Teleporter
silentgems:teleporterdark:1, Spinel Teleporter
silentgems:teleporterdark:2, Citrine Teleporter
silentgems:teleporterdark:3, Jasper Teleporter
silentgems:teleporterdark:4, Golden Beryl Teleporter
silentgems:teleporterdark:5, Moldavite Teleporter
silentgems:teleporterdark:6, Malachite Teleporter
silentgems:teleporterdark:7, Turquoise Teleporter
silentgems:teleporterdark:8, Moonstone Teleporter
silentgems:teleporterdark:9, Blue Topaz Teleporter
silentgems:teleporterdark:10, Tanzanite Teleporter
silentgems:teleporterdark:11, Violet Sapphire Teleporter
silentgems:teleporterdark:12, Lepidolite Teleporter
silentgems:teleporterdark:13, Ametrine Teleporter
silentgems:teleporterdark:14, Black Diamond Teleporter
silentgems:teleporterdark:15, Alexandrite Teleporter
silentgems:teleporterlight:0, Pyrope Teleporter
silentgems:teleporterlight:1, Coral Teleporter
silentgems:teleporterlight:2, Sunstone Teleporter
silentgems:teleporterlight:3, Cat's Eye Teleporter
silentgems:teleporterlight:4, Zircon Teleporter
silentgems:teleporterlight:5, Jade Teleporter
silentgems:teleporterlight:6, Chrysoprase Teleporter
silentgems:teleporterlight:7, Apatite Teleporter
silentgems:teleporterlight:8, Fluorite Teleporter
silentgems:teleporterlight:9, Kyanite Teleporter
silentgems:teleporterlight:10, Sodalite Teleporter
silentgems:teleporterlight:11, Ammolite Teleporter
silentgems:teleporterlight:12, Kunzite Teleporter
silentgems:teleporterlight:13, Rose Quartz Teleporter
silentgems:teleporterlight:14, Tektite Teleporter
silentgems:teleporterlight:15, Pearl Teleporter
silentgems:teleporterredstone:0, Ruby Redstone Teleporter
silentgems:teleporterredstone:1, Garnet Redstone Teleporter
silentgems:teleporterredstone:2, Topaz Redstone Teleporter
silentgems:teleporterredstone:3, Amber Redstone Teleporter
silentgems:teleporterredstone:4, Heliodor Redstone Teleporter
silentgems:teleporterredstone:5, Peridot Redstone Teleporter
silentgems:teleporterredstone:6, Beryl Redstone Teleporter
silentgems:teleporterredstone:7, Indicolite Redstone Teleporter
silentgems:teleporterredstone:8, Aquamarine Redstone Teleporter
silentgems:teleporterredstone:9, Sapphire Redstone Teleporter
silentgems:teleporterredstone:10, Iolite Redstone Teleporter
silentgems:teleporterredstone:11, Amethyst Redstone Teleporter
silentgems:teleporterredstone:12, Agate Redstone Teleporter
silentgems:teleporterredstone:13, Morganite Redstone Teleporter
silentgems:teleporterredstone:14, Onyx Redstone Teleporter
silentgems:teleporterredstone:15, Opal Redstone Teleporter
silentgems:teleporterredstonedark:0, Carnelian Redstone Teleporter
silentgems:teleporterredstonedark:1, Spinel Redstone Teleporter
silentgems:teleporterredstonedark:2, Citrine Redstone Teleporter
silentgems:teleporterredstonedark:3, Jasper Redstone Teleporter
silentgems:teleporterredstonedark:4, Golden Beryl Redstone Teleporter
silentgems:teleporterredstonedark:5, Moldavite Redstone Teleporter
silentgems:teleporterredstonedark:6, Malachite Redstone Teleporter
silentgems:teleporterredstonedark:7, Turquoise Redstone Teleporter
silentgems:teleporterredstonedark:8, Moonstone Redstone Teleporter
silentgems:teleporterredstonedark:9, Blue Topaz Redstone Teleporter
silentgems:teleporterredstonedark:10, Tanzanite Redstone Teleporter
silentgems:teleporterredstonedark:11, Violet Sapphire Redstone Teleporter
silentgems:teleporterredstonedark:12, Lepidolite Redstone Teleporter
silentgems:teleporterredstonedark:13, Ametrine Redstone Teleporter
silentgems:teleporterredstonedark:14, Black Diamond Redstone Teleporter
silentgems:teleporterredstonedark:15, Alexandrite Redstone Teleporter
silentgems:teleporterredstonelight:0, Pyrope Redstone Teleporter
silentgems:teleporterredstonelight:1, Coral Redstone Teleporter
silentgems:teleporterredstonelight:2, Sunstone Redstone Teleporter
silentgems:teleporterredstonelight:3, Cat's Eye Redstone Teleporter
silentgems:teleporterredstonelight:4, Zircon Redstone Teleporter
silentgems:teleporterredstonelight:5, Jade Redstone Teleporter
silentgems:teleporterredstonelight:6, Chrysoprase Redstone Teleporter
silentgems:teleporterredstonelight:7, Apatite Redstone Teleporter
silentgems:teleporterredstonelight:8, Fluorite Redstone Teleporter
silentgems:teleporterredstonelight:9, Kyanite Redstone Teleporter
silentgems:teleporterredstonelight:10, Sodalite Redstone Teleporter
silentgems:teleporterredstonelight:11, Ammolite Redstone Teleporter
silentgems:teleporterredstonelight:12, Kunzite Redstone Teleporter
silentgems:teleporterredstonelight:13, Rose Quartz Redstone Teleporter
silentgems:teleporterredstonelight:14, Tektite Redstone Teleporter
silentgems:teleporterredstonelight:15, Pearl Redstone Teleporter
silentgems:multi_gem_ore_classic, Multi-Gem Ore (Classic)
silentgems:multi_gem_ore_dark, Multi-Gem Ore (Dark)
silentgems:multi_gem_ore_light, Multi-Gem Ore (Light)
silentgems:glowrose:0, Ruby Glow Rose
silentgems:glowrose:1, Garnet Glow Rose
silentgems:glowrose:2, Topaz Glow Rose
silentgems:glowrose:3, Amber Glow Rose
silentgems:glowrose:4, Heliodor Glow Rose
silentgems:glowrose:5, Peridot Glow Rose
silentgems:glowrose:6, Beryl Glow Rose
silentgems:glowrose:7, Indicolite Glow Rose
silentgems:glowrose:8, Aquamarine Glow Rose
silentgems:glowrose:9, Sapphire Glow Rose
silentgems:glowrose:10, Iolite Glow Rose
silentgems:glowrose:11, Amethyst Glow Rose
silentgems:glowrose:12, Agate Glow Rose
silentgems:glowrose:13, Morganite Glow Rose
silentgems:glowrose:14, Onyx Glow Rose
silentgems:glowrose:15, Opal Glow Rose
silentgems:essenceore:0, Chaos Ore
silentgems:essenceore:1, Ender Essence Ore
silentgems:miscblock:0, Block of Chaos Essence
silentgems:miscblock:1, Block of Enriched Chaos Essence
silentgems:miscblock:2, Block of Crystallized Chaos Essence
silentgems:miscblock:3, Block of Chaos Coal
silentgems:miscblock:4, Block of Chaos Iron
silentgems:miscblock:5, Block of Ender Essence
silentgems:hardenedrock:0, Hardened Stone
silentgems:hardenedrock:1, Hardened Netherrack
silentgems:hardenedrock:2, Hardened End Stone
silentgems:fluffyblock:0, Fluffy Block (White)
silentgems:fluffyblock:1, Fluffy Block (Orange)
silentgems:fluffyblock:2, Fluffy Block (Magenta)
silentgems:fluffyblock:3, Fluffy Block (Light Blue)
silentgems:fluffyblock:4, Fluffy Block (Yellow)
silentgems:fluffyblock:5, Fluffy Block (Lime)
silentgems:fluffyblock:6, Fluffy Block (Pink)
silentgems:fluffyblock:7, Fluffy Block (Gray)
silentgems:fluffyblock:8, Fluffy Block (Light Gray)
silentgems:fluffyblock:9, Fluffy Block (Cyan)
silentgems:fluffyblock:10, Fluffy Block (Purple)
silentgems:fluffyblock:11, Fluffy Block (Blue)
silentgems:fluffyblock:12, Fluffy Block (Brown)
silentgems:fluffyblock:13, Fluffy Block (Green)
silentgems:fluffyblock:14, Fluffy Block (Red)
silentgems:fluffyblock:15, Fluffy Block (Black)
silentgems:fluffyplant, Fluffy Puff Plant
silentgems:stonetorch, Stone Torch
silentgems:chaosflowerpot, Chaos Flower Pot
silentgems:materialgrader, Material Grader
silentgems:chaosnode, Chaos Node
silentgems:chaosaltar, Chaos Altar
silentgems:chaospylon:0, Passive Chaos Pylon
silentgems:chaospylon:1, Burner Chaos Pylon
silentgems:phantomlight, Phantom Light
silentgems:supercharger, tile.silentgems.supercharger.name
silentgems:soul_urn, Soul Urn
scalinghealth:crystalore, Heart Crystal Ore
secretroomsmod:ghost_block, Ghost Block
secretroomsmod:secret_stairs, Secret Stairs
secretroomsmod:secret_lever, Secret lever
secretroomsmod:secret_redstone, Secret Redstone
secretroomsmod:one_way_glass, One-Way Glass
secretroomsmod:secret_wooden_button, Secret Wood Button
secretroomsmod:secret_stone_button, Secret Stone Button
secretroomsmod:torch_lever, Torch Lever
secretroomsmod:secret_pressure_plate, Secret Pressure Plate
secretroomsmod:secret_light_pressure_plate, Secret Weighted Plate (light)
secretroomsmod:secret_heavy_pressure_plate, Secret Weighted Plate (heavy)
secretroomsmod:secret_player_pressure_plate, Secret Player Plate
secretroomsmod:solid_air, Solid Air
secretroomsmod:secret_chest, Secret Chest
secretroomsmod:secret_wooden_trapdoor, Secret Wooden TrapDoor
secretroomsmod:secret_iron_trapdoor, Secret Iron TrapDoor
secretroomsmod:secret_dispenser, Secret Dispenser
secretroomsmod:secret_trapped_chest, Secret Trapped Chest
secretroomsmod:secret_gate, Secret Gate Block
secretroomsmod:secret_light_detector, Secret Light Detector
sgextraparts:rock, Feldspar
forge:bucketfilled, %s Bucket
appliedenergistics2:quartz_ore, Certus Quartz Ore
appliedenergistics2:charged_quartz_ore, Charged Certus Quartz Ore
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:sky_stone_chest, Sky Stone Chest
appliedenergistics2:smooth_sky_stone_chest, Sky Stone Block Chest
appliedenergistics2:sky_compass, Meteorite Compass
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:inscriber, Inscriber
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:charger, Charger
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:controller, ME Controller
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:vibration_chamber, Vibration Chamber
appliedenergistics2:quartz_growth_accelerator, Crystal Growth Accelerator
appliedenergistics2:energy_cell, Energy Cell
appliedenergistics2:dense_energy_cell, Dense Energy Cell
appliedenergistics2:creative_energy_cell, Creative Energy Cell
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
appliedenergistics2:crafting_monitor, Crafting Monitor
appliedenergistics2:molecular_assembler, Molecular Assembler
appliedenergistics2:light_detector, Light Detecting Fixture
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Sky Stone Stairs
appliedenergistics2:smooth_sky_stone_stairs, Sky Stone Block Stairs
appliedenergistics2:sky_stone_brick_stairs, Sky Stone Brick Stairs
appliedenergistics2:sky_stone_small_brick_stairs, Sky Stone Small Brick Stairs
appliedenergistics2:fluix_stairs, Fluix Stairs
appliedenergistics2:quartz_stairs, Certus Quartz Stairs
appliedenergistics2:chiseled_quartz_stairs, Chiseled Certus Quartz Stairs
appliedenergistics2:quartz_pillar_stairs, Certus Quartz Pillar Stairs
appliedenergistics2:cable_bus, AE2 Cable and/or Bus
appliedenergistics2:sky_stone_slab:0, Sky Stone Slabs
appliedenergistics2:smooth_sky_stone_slab:0, Sky Stone Block Slabs
appliedenergistics2:sky_stone_brick_slab:0, Sky Stone Brick Slabs
appliedenergistics2:sky_stone_small_brick_slab:0, Sky Stone Small Brick Slabs
appliedenergistics2:fluix_slab:0, Fluix Slabs
appliedenergistics2:quartz_slab:0, Certus Quartz Slabs
appliedenergistics2:chiseled_quartz_slab:0, Chiseled Certus Quartz Slabs
appliedenergistics2:quartz_pillar_slab:0, Certus Quartz Pillar Slabs
appliedenergistics2:certus_quartz_axe, Certus Quartz Axe
appliedenergistics2:certus_quartz_hoe, Certus Quartz Hoe
appliedenergistics2:certus_quartz_spade, Certus Quartz Shovel
appliedenergistics2:certus_quartz_pickaxe, Certus Quartz Pickaxe
appliedenergistics2:certus_quartz_sword, Certus Quartz Sword
appliedenergistics2:certus_quartz_wrench, Certus Quartz Wrench
appliedenergistics2:certus_quartz_cutting_knife, Certus Quartz Cutting Knife
appliedenergistics2:nether_quartz_axe, Nether Quartz Axe
appliedenergistics2:nether_quartz_hoe, Nether Quartz Hoe
appliedenergistics2:nether_quartz_spade, Nether Quartz Shovel
appliedenergistics2:nether_quartz_pickaxe, Nether Quartz Pickaxe
appliedenergistics2:nether_quartz_sword, Nether Quartz Sword
appliedenergistics2:nether_quartz_wrench, Nether Quartz Wrench
appliedenergistics2:nether_quartz_cutting_knife, Nether Quartz Cutting Knife
appliedenergistics2:entropy_manipulator, Entropy Manipulator
appliedenergistics2:wireless_terminal, Wireless Terminal
appliedenergistics2:charged_staff, Charged Staff
